codmun,ano,is_top_100,regiao
210240,2007,0,Nordeste
210240,2010,0,Nordeste
210250,2007,0,Nordeste
210250,2010,0,Nordeste
210255,2007,0,Nordeste
210255,2010,0,Nordeste
210260,2007,0,Nordeste
210260,2010,0,Nordeste
210270,2007,0,Nordeste
210270,2010,0,Nordeste
210275,2007,0,Nordeste
210275,2010,0,Nordeste
210280,2007,0,Nordeste
210280,2010,0,Nordeste
210290,2007,0,Nordeste
210290,2010,0,Nordeste
210300,2007,0,Nordeste
210300,2010,0,Nordeste
210312,2007,0,Nordeste
210312,2010,0,Nordeste
210315,2007,0,Nordeste
210315,2010,0,Nordeste
210317,2007,0,Nordeste
210317,2010,0,Nordeste
210320,2007,0,Nordeste
210320,2010,0,Nordeste
210325,2007,0,Nordeste
210325,2010,0,Nordeste
210330,2007,0,Nordeste
210330,2010,0,Nordeste
210340,2007,0,Nordeste
210340,2010,0,Nordeste
210355,2007,0,Nordeste
210355,2010,0,Nordeste
210360,2007,0,Nordeste
210360,2010,0,Nordeste
210370,2007,0,Nordeste
210370,2010,0,Nordeste
210380,2007,0,Nordeste
210380,2010,0,Nordeste
210390,2007,0,Nordeste
210390,2010,0,Nordeste
210400,2007,0,Nordeste
210400,2010,0,Nordeste
210405,2007,0,Nordeste
210405,2010,0,Nordeste
210407,2007,0,Nordeste
210407,2010,0,Nordeste
210408,2007,0,Nordeste
210408,2010,0,Nordeste
210409,2007,0,Nordeste
210409,2010,0,Nordeste
210410,2007,0,Nordeste
210410,2010,0,Nordeste
210420,2007,0,Nordeste
210420,2010,0,Nordeste
210430,2007,0,Nordeste
210430,2010,0,Nordeste
210440,2007,0,Nordeste
210440,2010,0,Nordeste
210450,2007,0,Nordeste
210450,2010,0,Nordeste
210455,2007,0,Nordeste
210455,2010,0,Nordeste
210460,2007,0,Nordeste
210460,2010,0,Nordeste
210462,2007,0,Nordeste
210462,2010,0,Nordeste
210465,2007,0,Nordeste
210465,2010,0,Nordeste
210467,2007,0,Nordeste
210467,2010,0,Nordeste
210470,2007,0,Nordeste
210470,2010,0,Nordeste
210480,2007,0,Nordeste
210480,2010,0,Nordeste
210490,2007,0,Nordeste
210490,2010,0,Nordeste
210500,2007,0,Nordeste
210500,2010,0,Nordeste
210510,2007,0,Nordeste
210510,2010,0,Nordeste
210515,2007,0,Nordeste
210515,2010,0,Nordeste
210520,2007,0,Nordeste
210520,2010,0,Nordeste
210530,2007,1,Nordeste
210530,2010,1,Nordeste
210535,2007,0,Nordeste
210535,2010,0,Nordeste
210540,2007,0,Nordeste
210540,2010,0,Nordeste
210542,2007,0,Nordeste
210542,2010,0,Nordeste
210547,2007,0,Nordeste
210547,2010,0,Nordeste
210550,2007,0,Nordeste
210550,2010,0,Nordeste
210560,2007,0,Nordeste
210560,2010,0,Nordeste
210565,2007,0,Nordeste
210565,2010,0,Nordeste
210570,2007,0,Nordeste
